Year,Months,Country_UA,Country,HS_Code,Import_Value_TUSD,Import_NetWt_t
2026,3,Австрія,Austria,8507,142,30
2026,3,Бельгія,Belgium,8507,59,10
2026,3,Болгарія,Bulgaria,8507,3264,1072
2026,3,Бразилія,Бразилія,8507,1,0
2026,3,Велика Британія,United Kingdom,8507,297,40
2026,3,В'єтнам,Vietnam,8507,1618,386
2026,3,Гонконг,Hong Kong,8507,143,3
2026,3,Греція,Greece,8507,151,35
2026,3,Данія,Denmark,8507,39,3
2026,3,Естонія,Estonia,8507,1721,85
2026,3,Ізраїль,Israel,8507,2,0
2026,3,Індія,India,8507,1,0
2026,3,Індонезія,Indonesia,8507,18,1
2026,3,Іспанія,Spain,8507,1476,436
2026,3,Італiя,Italy,8507,1223,303
2026,3,Казахстан,Kazakhstan,8507,594,253
2026,3,Канада,Canada,8507,30,0
2026,3,Китай,China,8507,736779,34835
2026,3,Колумбія,Колумбія,8507,2,0
2026,3,"Корея, Республіка",South Korea,8507,3826,216
2026,3,Латвія,Latvia,8507,6666,83
2026,3,Люксембург,Luxembourg,8507,23,5
2026,3,Малайзія,Malaysia,8507,7890,271
2026,3,Мексика,Mexico,8507,10,1
2026,3,Нідерланди,Netherlands,8507,6173,93
2026,3,Німеччина,Germany,8507,1897,306
2026,3,Норвегія,Norway,8507,8,1
2026,3,Польща,Poland,8507,11027,2456
2026,3,Португалія,Portugal,8507,60,7
2026,3,Республіка Північна Македонія,North Macedonia,8507,441,141
2026,3,Румунія,Romania,8507,1454,291
2026,3,Сингапур,Singapore,8507,9,0
2026,3,Словаччина,Slovakia,8507,26,4
2026,3,Словенія,Slovenia,8507,2714,794
2026,3,США,USA,8507,8258,53
2026,3,"Тайвань, провінція Китаю",Taiwan,8507,11855,258
2026,3,Туреччина,Turkey,8507,2072,724
2026,3,Угорщина,Hungary,8507,1247,363
2026,3,Філіппіни,Philippines,8507,214,7
2026,3,Фінляндія,Finland,8507,82,7
2026,3,Франція,France,8507,473,31
2026,3,Чехія,Czech Republic,8507,19682,1652
2026,3,Швейцарія,Switzerland,8507,9,0
2026,3,Швеція,Sweden,8507,6,0
2026,3,Японія,Japan,8507,202,4
2019,12,Австрія,Austria,8507,314,89
2019,12,Бельгія,Belgium,8507,57,5
2019,12,Білорусь,Belarus,8507,717,273
2019,12,Болгарія,Bulgaria,8507,3381,1276
2019,12,Велика Британія,United Kingdom,8507,360,36
2019,12,В'єтнам,Vietnam,8507,1789,542
2019,12,Гонконг,Hong Kong,8507,138,3
2019,12,Греція,Greece,8507,544,181
2019,12,Данія,Denmark,8507,8,0
2019,12,Естонія,Estonia,8507,2609,143
2019,12,Ізраїль,Israel,8507,1,0
2019,12,Індія,India,8507,103,2
2019,12,Індонезія,Indonesia,8507,63,4
2019,12,Іспанія,Spain,8507,1825,593
2019,12,Італiя,Italy,8507,2720,889
2019,12,Казахстан,Kazakhstan,8507,2308,1297
2019,12,Канада,Canada,8507,66,1
2019,12,Китай,China,8507,27980,5633
2019,12,Кіпр,Cyprus,8507,2,0
2019,12,"Конго, Демократична Республіка",DR Congo,8507,8,2
2019,12,"Корея, Республіка",South Korea,8507,1600,702
2019,12,Латвія,Latvia,8507,7,0
2019,12,Литва,Lithuania,8507,19,2
2019,12,Люксембург,Luxembourg,8507,97,17
2019,12,Малайзія,Malaysia,8507,650,26
2019,12,Мексика,Mexico,8507,72,11
2019,12,"Молдова, Республіка",Moldova,8507,23,1
2019,12,Нідерланди,Netherlands,8507,447,64
2019,12,Німеччина,Germany,8507,5570,1193
2019,12,Норвегія,Norway,8507,2,0
2019,12,Польща,Poland,8507,16861,5659
2019,12,Португалія,Portugal,8507,38,6
2019,12,Республіка Північна Македонія,North Macedonia,8507,2587,1083
2019,12,Російська Федерація,Російська Федерація,8507,1124,180
2019,12,Румунія,Romania,8507,1198,524
2019,12,Сербія,Serbia,8507,1,0
2019,12,Сингапур,Singapore,8507,26,0
2019,12,Словаччина,Slovakia,8507,37,2
2019,12,Словенія,Slovenia,8507,3975,1447
2019,12,США,USA,8507,1709,111
2019,12,Таїланд,Thailand,8507,8,1
2019,12,"Тайвань, провінція Китаю",Taiwan,8507,453,149
2019,12,Туніс,Tunisia,8507,124,41
2019,12,Туреччина,Turkey,8507,2958,2143
2019,12,Уганда,Uganda,8507,2,0
2019,12,Угорщина,Hungary,8507,1039,414
2019,12,Філіппіни,Philippines,8507,799,63
2019,12,Фінляндія,Finland,8507,1,0
2019,12,Франція,France,8507,756,193
2019,12,Хорватія,Croatia,8507,7,0
2019,12,Чехія,Czech Republic,8507,10446,3600
2019,12,Швейцарія,Switzerland,8507,12,0
2019,12,Швеція,Sweden,8507,15,2
2019,12,Японія,Japan,8507,432,8
2020,12,Австрія,Austria,8507,289,75
2020,12,Бельгія,Belgium,8507,38,11
2020,12,Білорусь,Belarus,8507,3067,450
2020,12,Болгарія,Bulgaria,8507,3595,1307
2020,12,Бразилія,Бразилія,8507,3,1
2020,12,Велика Британія,United Kingdom,8507,271,48
2020,12,В'єтнам,Vietnam,8507,1842,512
2020,12,Гонконг,Hong Kong,8507,167,2
2020,12,Греція,Greece,8507,164,57
2020,12,Данія,Denmark,8507,41,0
2020,12,Естонія,Estonia,8507,209,12
2020,12,Ізраїль,Israel,8507,4,0
2020,12,Індія,India,8507,1,0
2020,12,Індонезія,Indonesia,8507,57,10
2020,12,Ірландiя,Ireland,8507,12,0
2020,12,Іспанія,Spain,8507,1876,613
