Country,2019,2020,2021,2022,2023,2024,2025,2026
Australia,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
Austria,314.0,289.0,503.0,974.0,764.0,279.0,382.0,142.0
Belarus,717.0,3067.0,1614.0,147.0,0.0,0.0,0.0,0.0
Belgium,57.0,38.0,8.0,0.0,49.0,44.0,16.0,59.0
Bulgaria,3381.0,3595.0,2986.0,6389.0,13884.0,23435.0,17385.0,3264.0
Canada,66.0,91.0,430.0,67.0,174.0,46.0,104.0,30.0
China,27980.0,35186.0,46341.0,170475.0,336839.0,801040.0,1120753.0,736779.0
Croatia,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cyprus,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,10446.0,12629.0,16313.0,17909.0,22382.0,24505.0,44036.0,19682.0
DR Congo,8.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
Denmark,8.0,41.0,5.0,74.0,38.0,44.0,116.0,39.0
Estonia,2609.0,209.0,42.0,49.0,8.0,54.0,4332.0,1721.0
Finland,1.0,9.0,3.0,7.0,11.0,57.0,125.0,82.0
France,756.0,810.0,920.0,795.0,1163.0,1353.0,1701.0,473.0
Georgia,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Germany,5570.0,5851.0,7281.0,5407.0,6618.0,7537.0,10840.0,1897.0
Greece,544.0,164.0,930.0,1413.0,805.0,455.0,591.0,151.0
Hong Kong,138.0,167.0,24.0,4.0,9.0,106.0,110.0,143.0
Hungary,1039.0,1103.0,1105.0,1683.0,2281.0,2509.0,3476.0,1247.0
India,103.0,1.0,239.0,944.0,1013.0,131.0,309.0,1.0
Indonesia,63.0,57.0,39.0,81.0,77.0,77.0,177.0,18.0
Ireland,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0
Israel,1.0,4.0,12.0,4.0,3.0,12.0,13.0,2.0
Italy,2720.0,2742.0,3590.0,4589.0,6356.0,4731.0,33968.0,1223.0
Japan,432.0,410.0,498.0,376.0,484.0,353.0,509.0,202.0
Kazakhstan,2308.0,4457.0,5755.0,2991.0,2961.0,2610.0,3619.0,594.0
Latvia,7.0,1.0,0.0,0.0,1.0,22.0,54.0,6666.0
Lithuania,19.0,43.0,5.0,63.0,110.0,20.0,1531.0,0.0
Luxembourg,97.0,58.0,71.0,83.0,212.0,135.0,209.0,23.0
Malaysia,650.0,974.0,166.0,2399.0,2017.0,3694.0,5124.0,7890.0
Mali,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0
Mexico,72.0,78.0,235.0,70.0,64.0,85.0,141.0,10.0
Moldova,23.0,42.0,35.0,24.0,30.0,22.0,11.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Netherlands,447.0,375.0,280.0,317.0,1369.0,397.0,2617.0,6173.0
North Macedonia,2587.0,2023.0,3607.0,493.0,2064.0,539.0,549.0,441.0
Norway,2.0,3.0,0.0,2.0,0.0,0.0,55.0,8.0
Philippines,799.0,734.0,1010.0,351.0,983.0,688.0,587.0,214.0
Poland,16861.0,16217.0,15784.0,22271.0,24252.0,21429.0,27541.0,11027.0
Portugal,38.0,581.0,49.0,114.0,779.0,524.0,212.0,60.0
Romania,1198.0,1049.0,913.0,1229.0,1214.0,876.0,1653.0,1454.0
Serbia,1.0,0.0,44.0,2.0,0.0,2.0,5.0,0.0
Singapore,26.0,12.0,25.0,17.0,225.0,925.0,19.0,9.0
Slovakia,37.0,37.0,15.0,7.0,28.0,12.0,478.0,26.0
Slovenia,3975.0,4476.0,4257.0,9427.0,8082.0,8829.0,7210.0,2714.0
South Africa,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0
South Korea,1600.0,1698.0,2147.0,2388.0,4316.0,4355.0,5843.0,3826.0
Spain,1825.0,1876.0,2086.0,2459.0,2911.0,2076.0,2045.0,1476.0
Sri Lanka,0.0,0.0,59.0,286.0,337.0,155.0,0.0,0.0
Sweden,15.0,78.0,39.0,39.0,111.0,189.0,28.0,6.0
Switzerland,12.0,36.0,64.0,44.0,63.0,116.0,94.0,9.0
Taiwan,453.0,333.0,422.0,1290.0,2320.0,19609.0,54603.0,11855.0
Thailand,8.0,13.0,1.0,1.0,2.0,5.0,5.0,0.0
Tunisia,124.0,233.0,73.0,286.0,53.0,0.0,0.0,0.0
Turkey,2958.0,4843.0,6106.0,8201.0,8330.0,6150.0,3947.0,2072.0
USA,1709.0,1336.0,1243.0,313.0,2457.0,2913.0,20934.0,8258.0
Uganda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0
United Kingdom,360.0,271.0,411.0,552.0,1264.0,1566.0,710.0,297.0
Uzbekistan,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
Vietnam,1789.0,1842.0,2477.0,3926.0,6521.0,5823.0,97089.0,1618.0
Аргентина,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Бразилія,0.0,3.0,4.0,10.0,5.0,0.0,3.0,1.0
Віргінські острови (США),0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Колумбія,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Ліхтенштейн,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Пакистан,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Російська Федерація,1124.0,549.0,699.0,107.0,0.0,0.0,0.0,0.0
Сьєрра-Леоне,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
