Country,2019,2020,2021,2022,2023,2024,2025,Overall
Kazakhstan,1779.0,2053.0,2064.0,2310.0,2611.0,2351.0,2455.0,2192.0
Turkey,1380.0,1482.0,1468.0,2735.0,2952.0,3759.0,3145.0,2217.0
Slovenia,2747.0,2584.0,2846.0,2845.0,3225.0,3392.0,3268.0,3022.0
Poland,2980.0,3205.0,3179.0,3178.0,3291.0,3910.0,4616.0,3478.0
Czech Republic,2902.0,2691.0,2740.0,2533.0,2655.0,3481.0,8034.0,3507.0
Bulgaria,2650.0,2751.0,3041.0,2909.0,4070.0,6903.0,7828.0,4805.0
Italy,3060.0,3077.0,3387.0,3409.0,3425.0,3731.0,14749.0,6106.0
Germany,4669.0,4501.0,5697.0,5746.0,7470.0,7993.0,9071.0,6347.0
Vietnam,3301.0,3598.0,4220.0,4362.0,4140.0,4346.0,11790.0,8726.0
China,4967.0,6723.0,7260.0,17128.0,16206.0,20101.0,22430.0,18422.0
Taiwan,3040.0,4325.0,3735.0,9149.0,9587.0,35459.0,50699.0,33601.0
USA,15396.0,14681.0,18552.0,9781.0,20822.0,50224.0,156224.0,50581.0
