「實施資訊保護貨品」(稅號含英文字母者)與「資訊保護國別」為資訊保護專用，顯示相關資料正在資訊保護狀態，貨品別量值總數不需加計前者，國別量值總數不需加計後者，以免重覆計算；另「D」指該欄位資料受到資訊保護，不予顯示。
詳情請參考「進出口貿易統計資訊保護項目清單」及常見問答。
進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,中國大陸,378
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,日本,143
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,南韓,6
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,美國,4
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,英國,0
進口總值(含復進口),109年1月,250410,粉狀或細片狀, In powder or in flakes,馬達加斯加,2
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),中國大陸,2519
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),日本,221
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),比利時,464
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),加拿大,166
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),印度,46
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),俄羅斯,25
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),南韓,714
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),美國,396
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),英國,0
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),泰國,128
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),越南,3
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),新加坡,15
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),義大利,52
進口總值(含復進口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),德國,105
進口總值(含復進口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,中國大陸,1546
進口總值(含復進口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,丹麥,6
進口總值(含復進口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,巴西,42
進口總值(含復進口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,日本,1207
