進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
出口總值(含復出口),109年1月,250410,粉狀或細片狀, In powder or in flakes,印尼,2
出口總值(含復出口),109年1月,250410,粉狀或細片狀, In powder or in flakes,越南,2
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),中國大陸,527
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),印尼,601
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),西班牙,22
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),孟加拉,61
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),南韓,15
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),香港,26
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),泰國,898
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),馬來西亞,6
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),菲律賓,359
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),越南,762
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),新加坡,8
出口總值(含復出口),109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),緬甸,222
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,中國大陸,106
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,日本,94
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,印尼,17
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,印度,1
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,孟加拉,10
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,南韓,155
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,馬來西亞,52
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,越南,34
出口總值(含復出口),109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,澳大利亞,3
出口總值(含復出口),109年1月,282200,氧化鈷及氫氧化鈷；工業用氧化鈷, Cobalt oxides and hydroxides; commercial cobalt oxides,日本,447
出口總值(含復出口),109年1月,282200,氧化鈷及氫氧化鈷；工業用氧化鈷, Cobalt oxides and hydroxides; commercial cobalt oxides,孟加拉,3
出口總值(含復出口),109年1月,282200,氧化鈷及氫氧化鈷；工業用氧化鈷, Cobalt oxides and hydroxides; commercial cobalt oxides,美國,618
出口總值(含復出口),109年1月,282200,氧化鈷及氫氧化鈷；工業用氧化鈷, Cobalt oxides and hydroxides; commercial cobalt oxides,泰國,203
出口總值(含復出口),109年1月,282540,氧化鎳及氫氧化鎳, Nickel oxides and hydroxides,中國大陸,432
出口總值(含復出口),109年1月,282540,氧化鎳及氫氧化鎳, Nickel oxides and hydroxides,日本,83
出口總值(含復出口),109年1月,282540,氧化鎳及氫氧化鎳, Nickel oxides and hydroxides,馬來西亞,330
出口總值(含復出口),109年1月,282540,氧化鎳及氫氧化鎳, Nickel oxides and hydroxides,菲律賓,24
出口總值(含復出口),109年1月,283329,其他, Other,中國大陸,4
出口總值(含復出口),109年1月,283329,其他, Other,日本,145
出口總值(含復出口),109年1月,283329,其他, Other,印尼,3
出口總值(含復出口),109年1月,283329,其他, Other,印度,0
出口總值(含復出口),109年1月,283329,其他, Other,泰國,3
出口總值(含復出口),109年1月,283329,其他, Other,馬來西亞,5
出口總值(含復出口),109年1月,283329,其他, Other,荷蘭,19
出口總值(含復出口),109年1月,283329,其他, Other,越南,49
出口總值(含復出口),109年1月,380110,人造石墨, Artificial graphite,中國大陸,847
出口總值(含復出口),109年1月,380110,人造石墨, Artificial graphite,日本,8
出口總值(含復出口),109年1月,380110,人造石墨, Artificial graphite,香港,1
出口總值(含復出口),109年1月,382499,其他, Other,千里達及托巴哥,5
