「實施資訊保護貨品」(稅號含英文字母者)與「資訊保護國別」為資訊保護專用，顯示相關資料正在資訊保護狀態，貨品別量值總數不需加計前者，國別量值總數不需加計後者，以免重覆計算；另「D」指該欄位資料受到資訊保護，不予顯示。
詳情請參考「進出口貿易統計資訊保護項目清單」及常見問答。
進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元),重量(公噸)
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,中國大陸,378,214
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,日本,143,11
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,南韓,6,0
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,美國,4,3
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,英國,0,0
進口,109年1月,250410,粉狀或細片狀, In powder or in flakes,馬達加斯加,2,0
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),中國大陸,2519,2572.498
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),日本,221,128.892
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),比利時,464,92.49
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),加拿大,166,94
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),印度,46,45
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),俄羅斯,25,21.45
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),南韓,714,660.825
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),美國,396,136.168
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),英國,0,0
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),泰國,128,136.8
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),越南,3,0.54
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),新加坡,15,1.6
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),義大利,52,22.96
進口,109年1月,280300,碳（碳?及未列名其他形態碳）, Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),德國,105,24.975
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,中國大陸,1546,1976
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,丹麥,6,0
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,巴西,42,22
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,日本,1207,779
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,列支敦斯登,0,0
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,印尼,21,20
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,印度,1490,2400
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,法國,1019,1206
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,南韓,6,1
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,美國,408,121
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,英國,1,0
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,荷蘭,212,247
進口,109年1月,281820,氧化鋁，人造鋼玉除外, Aluminium oxide other than artificial corundum,德國,328,461
進口,109年1月,282520,氧化鋰及氫氧化鋰, Lithium oxide and hydroxide,中國大陸,113,10
進口,109年1月,282520,氧化鋰及氫氧化鋰, Lithium oxide and hydroxide,美國,22,2
進口,109年1月,282520,氧化鋰及氫氧化鋰, Lithium oxide and hydroxide,英國,1,0.004
進口,109年1月,282520,氧化鋰及氫氧化鋰, Lithium oxide and hydroxide,智利,103,10
進口,109年1月,282520,氧化鋰及氫氧化鋰, Lithium oxide and hydroxide,瑞士,18,1
進口,109年1月,283324,鎳之硫酸鹽, Of nickel,日本,114,23.151
進口,109年1月,283324,鎳之硫酸鹽, Of nickel,比利時,415,94.8
進口,109年1月,283324,鎳之硫酸鹽, Of nickel,美國,1,0.008
進口,109年1月,283324,鎳之硫酸鹽, Of nickel,英國,0,0.002
進口,109年1月,283329,其他, Other,中國大陸,642,13441.5
進口,109年1月,283329,其他, Other,日本,71,64.364
進口,109年1月,283329,其他, Other,印度,0,0
進口,109年1月,283329,其他, Other,西班牙,1,0.039
進口,109年1月,283329,其他, Other,美國,5,0.137
進口,109年1月,283329,其他, Other,英國,2,0.007
進口,109年1月,283329,其他, Other,馬來西亞,29,45.832
進口,109年1月,283329,其他, Other,德國,1,0.033
進口,109年1月,283329,其他, Other,墨西哥,0,0.002
進口,109年1月,283691,碳酸鋰, Lithium carbonates,中國大陸,8,1
進口,109年1月,283691,碳酸鋰, Lithium carbonates,日本,4,0.14
進口,109年1月,283691,碳酸鋰, Lithium carbonates,美國,0,0.001
進口,109年1月,283691,碳酸鋰, Lithium carbonates,智利,1191,99
進口,109年1月,380110,人造石墨, Artificial graphite,中國大陸,343,345.672
進口,109年1月,380110,人造石墨, Artificial graphite,日本,185,29.689
進口,109年1月,380110,人造石墨, Artificial graphite,美國,45,0.493
進口,109年1月,380110,人造石墨, Artificial graphite,瑞士,4,0.6
進口,109年1月,380110,人造石墨, Artificial graphite,德國,251,9.946
進口,109年1月,382499,其他, Other,土耳其,5,0.2
進口,109年1月,382499,其他, Other,中國大陸,18704,10082.42
進口,109年1月,382499,其他, Other,中華民國,580,23.448
進口,109年1月,382499,其他, Other,丹麥,176,34.782
進口,109年1月,382499,其他, Other,巴西,120,10.093
進口,109年1月,382499,其他, Other,日本,40737,2402.474
進口,109年1月,382499,其他, Other,比利時,589,121.838
進口,109年1月,382499,其他, Other,以色列,124,2.304
進口,109年1月,382499,其他, Other,加拿大,110,73.173
進口,109年1月,382499,其他, Other,立陶宛,0,0.001
進口,109年1月,382499,其他, Other,匈牙利,272,20.21
進口,109年1月,382499,其他, Other,印尼,456,186.432
進口,109年1月,382499,其他, Other,印度,163,56.917
進口,109年1月,382499,其他, Other,西班牙,721,147.726
進口,109年1月,382499,其他, Other,波多黎各,45,0.089
進口,109年1月,382499,其他, Other,法國,725,75.955
進口,109年1月,382499,其他, Other,芬蘭,44,48.095
進口,109年1月,382499,其他, Other,俄羅斯,15,2.36
進口,109年1月,382499,其他, Other,南非,456,714.833
進口,109年1月,382499,其他, Other,南韓,5109,1034.072
進口,109年1月,382499,其他, Other,美國,19029,4077.121
進口,109年1月,382499,其他, Other,英國,900,283.802
進口,109年1月,382499,其他, Other,香港,154,34.809
進口,109年1月,382499,其他, Other,挪威,85,52.62
進口,109年1月,382499,其他, Other,泰國,727,186.768
進口,109年1月,382499,其他, Other,馬來西亞,999,633.321
進口,109年1月,382499,其他, Other,馬爾他,0,0.001
進口,109年1月,382499,其他, Other,捷克,0,0.001
進口,109年1月,382499,其他, Other,荷蘭,611,182.809
進口,109年1月,382499,其他, Other,斯里蘭卡,5,20.1
進口,109年1月,382499,其他, Other,越南,1204,173.36
進口,109年1月,382499,其他, Other,奧地利,5,0.503
進口,109年1月,382499,其他, Other,愛沙尼亞,10,48.717
進口,109年1月,382499,其他, Other,愛爾蘭,12,0.537
進口,109年1月,382499,其他, Other,新加坡,778,190.858
進口,109年1月,382499,其他, Other,瑞士,356,24.555
進口,109年1月,382499,其他, Other,瑞典,34,0.175
進口,109年1月,382499,其他, Other,義大利,205,36.715
進口,109年1月,382499,其他, Other,德國,8060,1746.313
進口,109年1月,382499,其他, Other,摩納哥,0,0
進口,109年1月,382499,其他, Other,墨西哥,21,20.912
進口,109年1月,382499,其他, Other,澳大利亞,446,316.529
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,中國大陸,78,32.001
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,巴西,364,151.25
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,日本,844,420.134
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,加拿大,216,113.69
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,卡達,129,135
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,伊朗,231,272.25
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,沙烏地阿拉伯,1169,1287
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,芬蘭,8,2.75
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,阿拉伯聯合大公國,89,99
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,南韓,274,227.65
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,科威特,616,742.5
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,美國,1593,1878.619
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,泰國,368,369
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,新加坡,511,532.5
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,瑞典,247,96.25
進口,109年1月,390120,比重等於０．９４或大於０．９４之聚乙烯, Polyethylene having a specific gravity of 0.94 or more,德國,234,120
進口,109年1月,390210,聚丙烯, Polypropylene,中國大陸,1019,705.647
進口,109年1月,390210,聚丙烯, Polypropylene,日本,663,835.026
進口,109年1月,390210,聚丙烯, Polypropylene,比利時,60,29.75
進口,109年1月,390210,聚丙烯, Polypropylene,印尼,42,22.507
進口,109年1月,390210,聚丙烯, Polypropylene,印度,4,1.55
進口,109年1月,390210,聚丙烯, Polypropylene,沙烏地阿拉伯,4143,4182.75
進口,109年1月,390210,聚丙烯, Polypropylene,法國,34,11
